更新时间,确诊人数,疑似病例,治愈人数,死亡人数,新增,当天治愈,当天死亡
2020/1/24 0:00,495,0,31,23,549,31,23
2020/1/25 0:00,572,0,32,38,93,1,15
2020/1/26 0:00,618,0,40,45,61,8,7
2020/1/27 0:00,698,0,42,63,100,2,18
2020/1/28 0:00,1590,0,47,85,919,5,22
2020/1/29 0:00,1905,0,54,104,341,7,19
2020/1/30 0:00,2261,0,54,129,381,0,25
2020/1/31 0:00,2639,0,103,159,457,49,30
2020/2/1 0:00,3215,0,106,192,612,3,33
2020/2/2 0:00,4109,0,175,224,995,69,32
2020/2/3 0:00,5142,0,228,265,1127,53,41
2020/2/4 0:00,6384,0,306,313,1368,78,48
2020/2/5 0:00,8351,0,374,362,2084,68,49
2020/2/6 0:00,10117,0,455,414,1899,81,52
2020/2/7 0:00,11618,0,542,478,1652,87,64
2020/2/8 0:00,13603,0,747,545,2257,205,67
2020/2/9 0:00,14982,0,878,608,1573,131,63
2020/2/10 0:00,16902,0,1046,681,2161,168,73
2020/2/11 0:00,18454,0,1242,748,1815,196,67
2020/2/12 0:00,19558,0,1380,820,1314,138,72
2020/2/13 0:00,32994,0,1923,1036,14195,543,216
2020/2/14 0:00,35991,0,2023,1016,3077,100,0
2020/2/15 0:00,37914,0,2535,1123,2542,512,107
2020/2/16 0:00,39462,0,2925,1233,2048,390,110
2020/2/17 0:00,41152,0,3507,1309,2348,582,76
2020/2/18 0:00,42752,0,4253,1381,2418,746,72
2020/2/19 0:00,44412,0,5040,1497,2563,787,116
2020/2/20 0:00,45027,0,5598,1585,1261,558,88
2020/2/21 0:00,45346,0,6281,1684,1101,683,99
2020/2/22 0:00,45660,0,7292,1774,1415,1011,90
2020/2/23 0:00,46201,0,8189,1856,1520,897,82
2020/2/24 0:00,46607,0,8950,1987,1298,761,131
2020/2/25 0:00,47071,0,10368,2043,1938,1418,56
2020/2/26 0:00,47441,0,11826,2085,1870,1458,42
2020/2/27 0:00,47824,0,13472,2104,2048,1646,19
2020/2/28 0:00,48137,0,15826,2132,2695,2354,28
2020/2/29 0:00,48557,0,17636,2169,2267,1810,37
2020/3/1 0:00,49122,0,19576,2195,2531,1940,26
2020/3/2 0:00,49315,0,21349,2227,1998,1773,32
2020/3/3 0:00,49426,0,23068,2252,1855,1719,25
2020/3/4 0:00,49540,0,24890,2282,1966,1822,30
2020/3/5 0:00,49671,0,26415,2305,1679,1525,23
2020/3/6 0:00,49797,0,27420,2328,1154,1005,23
2020/3/7 0:00,49871,0,28536,2349,1211,1116,21
2020/3/8 0:00,49912,0,29977,2370,1503,1441,21
2020/3/9 0:00,49948,0,30987,2389,1065,1010,19
2020/3/10 0:00,49965,0,31975,2404,1020,988,15
2020/3/11 0:00,49978,0,33117,2423,1174,1142,19
2020/3/12 0:00,49986,0,34096,2430,994,979,7
2020/3/13 0:00,49991,0,35197,2436,1112,1101,6
2020/3/14 0:00,49995,0,36465,2446,1282,1268,10
2020/3/15 0:00,49999,0,37642,2456,1191,1177,10
2020/3/16 0:00,50003,0,38432,2469,807,790,13
2020/3/17 0:00,50004,0,39220,2480,800,788,11
2020/3/18 0:00,50005,0,40073,2490,864,853,10
2020/3/19 0:00,50005,0,40766,2496,699,693,6
2020/3/20 0:00,50005,0,41390,2499,627,624,3
2020/3/21 0:00,50005,0,41892,2504,507,502,5
2020/3/22 0:00,50005,0,42355,2508,467,463,4
2020/3/23 0:00,50005,0,42788,2517,442,433,9
2020/3/24 0:00,50006,0,43214,2524,434,426,7
2020/3/25 0:00,50006,0,43687,2526,475,473,2
2020/3/26 0:00,50006,0,44068,2531,386,381,5
2020/3/27 0:00,50006,0,44591,2535,527,523,4
2020/3/28 0:00,50006,0,44951,2538,363,360,3
2020/3/29 0:00,50006,0,45423,2543,477,472,5
2020/3/30 0:00,50006,0,45738,2547,319,315,4
2020/3/31 0:00,50006,0,46002,2548,265,264,1
2020/4/1 0:00,50007,0,46175,2553,179,173,5
2020/4/2 0:00,50007,0,46320,2559,151,145,6
2020/4/3 0:00,50007,0,46461,2563,145,141,4
2020/4/4 0:00,50008,0,46611,2567,155,150,4
2020/4/5 0:00,50008,0,46794,2570,186,183,3
2020/4/6 0:00,50008,0,46863,2571,70,69,1
2020/4/7 0:00,50008,0,46922,2571,59,59,0
2020/4/8 0:00,50008,0,46991,2572,70,69,1
2020/4/9 0:00,50008,0,47036,2574,47,45,2
2020/4/10 0:00,50008,0,47085,2575,50,49,1
2020/4/11 0:00,50008,0,47112,2577,29,27,2
2020/4/12 0:00,50008,0,47129,2577,17,17,0
2020/4/13 0:00,50008,0,47186,2579,59,57,2
2020/4/14 0:00,50008,0,47211,2579,25,25,0
2020/4/15 0:00,50008,0,47250,2579,39,39,0
2020/4/16 0:00,50008,0,47283,2579,33,33,0
2020/4/17 0:00,50333,0,46335,3869,667,0,1290
2020/4/18 0:00,50333,0,46342,3869,7,7,0
2020/4/19 0:00,50333,0,46355,3869,13,13,0
2020/4/20 0:00,50333,0,46359,3869,4,4,0
2020/4/21 0:00,50333,0,46362,3869,3,3,0
2020/4/22 0:00,50333,0,46367,3869,5,5,0
2020/4/23 0:00,50333,0,46395,3869,28,28,0
2020/4/24 0:00,50333,0,46417,3869,22,22,0
2020/4/25 0:00,50333,0,46441,3869,24,24,0
2020/4/26 0:00,50333,0,46452,3869,11,11,0
2020/4/27 0:00,50333,0,46464,3869,12,12,0
2020/5/10 0:00,50334,0,46464,3869,1,0,0
2020/5/11 0:00,50339,0,46464,3869,5,0,0
2020/5/19 0:00,50340,0,46464,3869,1,0,0
2020/5/25 0:00,50340,0,46465,3869,1,1,0
